OTUId,FEB-AS2-1,FEB-AS2-2,FEB-AS2-3,FEB-AS2-4,FEB-GA2-1,FEB-GA2-2,FEB-GA2-3,FEB-GA2-4,FEB-CW2-1,FEB-CW2-2,FEB-CW2-3,FEB-CW2-4,APR-AS2-1,APR-AS2-2,APR-AS2-3,APR-AS2-4,APR-GA2-1,APR-GA2-2,APR-GA2-3,APR-GA2-4,APR-CW2-1,APR-CW2-2,APR-CW2-3,APR-CW2-4,AUG-AS2-1,AUG-AS2-2,AUG-AS2-3,AUG-AS2-4,AUG-GA2-1,AUG-GA2-2,AUG-GA2-3,AUG-GA2-4,AUG-CW2-1,AUG-CW2-2,AUG-CW2-3,AUG-CW2-4,NOV-AS2-1,NOV-AS2-2,NOV-AS2-3,NOV-AS2-4,NOV-GA2-1,NOV-GA2-2,NOV-GA2-3,NOV-GA2-4,NOV-CW2-1,NOV-CW2-2,NOV-CW2-3,NOV-CW2-4,Chimer_ref,Chimera_denovo
C2_D1SF08P1:74:HTGTCBCXX:1:2107:11571:65745;size=2;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,CHIMERA_ref,CHIMERA_denovo
C2_D1SF08P1:74:HTGTCBCXX:1:2212:14296:75398;size=2;,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2,0,0,0,CHIMERA_ref,non_chimera_denovo
C3_D1SF08P1:74:HTGTCBCXX:1:2103:5682:97193;size=2;,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHIMERA_ref,CHIMERA_denovo
C4_D1SF08P1:74:HTGTCBCXX:1:1201:8657:6594;size=3;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CHIMERA_ref,non_chimera_denovo
C4_D1SF08P1:74:HTGTCBCXX:1:2109:4083:86074;size=2;,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,CHIMERA_ref,CHIMERA_denovo
C7_D1SF08P1:74:HTGTCBCXX:1:2106:5547:58483;size=2;,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,CHIMERA_ref,CHIMERA_denovo
C7_D1SF08P1:74:HTGTCBCXX:1:2114:17335:73432;size=2;,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,CHIMERA_ref,CHIMERA_denovo
D10_D1SF08P1:74:HTGTCBCXX:1:1110:16101:63100;size=2;,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,2,0,0,CHIMERA_ref,CHIMERA_denovo
D12_D1SF08P1:74:HTGTCBCXX:1:1110:1876:41762;size=2;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,2,0,0,0,3,CHIMERA_ref,CHIMERA_denovo
D7_D1SF08P1:74:HTGTCBCXX:1:1207:8432:11799;size=2;,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,2,0,0,CHIMERA_ref,CHIMERA_denovo
A1_D1SF08P1:74:HTGTCBCXX:1:1116:10626:15368;size=2;,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,non_chimera_ref,non_chimera_denovo
A1_D1SF08P1:74:HTGTCBCXX:1:1201:5805:29578;size=2;,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,non_chimera_ref,CHIMERA_denovo
A11_D1SF08P1:74:HTGTCBCXX:1:1101:16506:77689;size=2;,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,non_chimera_ref,non_chimera_denovo
A11_D1SF08P1:74:HTGTCBCXX:1:1113:4440:36008;size=2;,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,non_chimera_ref,non_chimera_denovo
A11_D1SF08P1:74:HTGTCBCXX:1:2105:5171:47894;size=2;,0,0,0,0,0,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non_chimera_ref,non_chimera_denovo
